company_id,company_name
217506,inter focus (thailand) company limited
8618,"public park co.,ltd."
445456,managroup company limited
67636,"senior marketing co.,ltd."
349549,esl education company limited
687413,"y p k (thailand) co., ltd."
449526,quest drop (thailand) company limited
122618,padaeng industry public company limited
1046559,subsea offshore services company limited
730311,"suzuki automobile manufacturing (thailand) co.,ltd."
44412,bakery s company limited
96059,"accounting department co.,ltd."
189184,groovy map company limited
1083634,sorawat development company limited
56528,chief [thailand] company limited
571686,cyb company limited
297911,part plus company limited
245284,dreamworks fabricator company limited
185745,interpublic ( thailand ) company limited
1062221,s p o c company limited
433057,g-art company limited
503343,brand young company limited
151462,"proflex (thailand) co., ltd."
245443,cbi (thailand) company limited
311441,jay dee international traders group company limited
542594,land form company limited
540417,new work company limited
535860,newgen inter trading company limited
609912,toucan travel asia company limited
189046,"group 3 management co., ltd."
191431,one group company limited
94824,ambience studio company limited
327298,juthamas logistic company limited
355700,amora company limited
47241,internet thailand public company limited
458934,"music associate co., ltd."
194550,"i k w co.,ltd."
578949,to phuket company limited
306424,haf collection company limited
192870,inter holding company limited
1037044,sri trang agro-industry public company limited
355170,"it one co., ltd."
596702,d consult company limited
1046173,"studio 1 co., ltd."
135365,g a s company limited
1001150,smile plus network company limited
266367,"hpk (thailand) co., ltd."
1010938,asian business group company limited
550680,top technology company limited
677748,training and health company limited
94821,ambience company limited
956901,campus suite company limited
94660,alumni research company limited
1082402,solution link company limited
385484,era oilfield service (thailand) company limited
463290,digital shop company limited
152063,icar asia(thailand) company limited
737697,"bangkok pride co., ltd."
707265,"novitat co.,ltd."
87326,userscientist company limited
165728,inspired english company limited
1070702,"su thai sing co., ltd."
878015,"pimalai resort & spa co., ltd."
43137,rawdevelop (thailand) company limited
279792,"logistics products integrated & consultant co.,ltd."
919614,connection lathe services company limited
215125,green management & consultant company limited
335445,j y p company limited
431948,be strong company limited
322921,"form star co., ltd."
620659,c holding company limited
909716,alpha d.i. (thailand) company limited
417854,"m r & t co.,ltd."
497163,ms chemitech company limited
46568,inspire advisory company limited
676436,"work work engineering co.,ltd."
498389,"xian-ning seafood co., ltd."
1063596,s t c company limited
54969,environment development limited partnership
351089,"nobilis-thai co., ltd."
388157,gimmicksystem company limited
728458,"prime international co., ltd."
284190,global crops company limited
219458,"inter consultant co., ltd."
301448,double two company limited
131163,"cartoon studio co., ltd."
736827,bangla company limited
737127,business data center company limited
84945,tool construction company limited
345453,for community company limited
92889,goatrade farming company limited
265570,night business consultant company limited
311085,backy travel company limited
987634,cornerstone company limited
211976,great kitchen restaurant company limited
459385,"managed care co.,ltd."
1044155,sterling gems (thailand) ltd.
209446,e-business company limited
64000,fashion studio company limited
429071,vbest group company limited
249737,"east asia oil co.,ltd."
247475,link media group company limited
726989,"world group trading (thailand) co., ltd."
87924,"visionary group co.,ltd."
59348,clinic home (thailand) company limited
220067,"i c y co.,ltd."
183554,grace international company limited
311090,"modern fashion co., ltd."
252468,hi q food products company limited
377623,leader telecom company limited
248896,"paramee co., ltd."
427891,mte limited
187509,"bio energy technologies co.,ltd."
544521,dominion company limited
510604,"engineering consultant & supply co., ltd."
420760,"overseas freight services co., ltd."
459093,digidia company limited.
1058781,smarttech technology company limited
426802,m t c w company limited
43953,"authorize inspection (thailand) co.,ltd."
718830,designers field company limited
603743,polipharm company limited
677760,net engineering company limited
258913,"auto research co.,ltd."
58891,promise (thailand) company limited
1081624,"solana co., ltd."
725697,"pcj international trading co.,ltd."
863916,up and up training company limited
534018,cryotech asia company limited
48564,joy travel service company limited
275804,m n o (thailand) company limited
323656,jungheinrich lift truck company limited
180051,hua in company limited
144251,"professional wave co., ltd."
385262,"dg engineering co., ltd."
752274,"vertex engineering co.,ltd."
1042819,star moon company limited
721322,world part group company limited
5983,triple d group limited
279892,eastern trade company limited
924695,to build company limited
64681,medicalmap international company limited
536003,mergemate company limited
2997,wilding golf company limited
377957,b.n.s. incorporation company limited
792726,bt metal company limited
246461,"liner class co., ltd."
429274,"focus construction co., ltd."
675120,dasiri company limited
251090,fukui byora (thailand) company limited
1045057,"step stones ltd co., ltd."
183337,ignite roi company limited
713537,"pasha co., ltd."
508330,development business & travel limited partnership
504379,phuket union company limited
194745,heng lee co.
749834,triple i air express company limited
324543,orc premier company limited
52127,shopback company limited
737220,"rickter composites co.,ltd."
58168,"location (thailand) co.,ltd."
48147,revolution ptc company limited
966596,bdc (thailand) company limited
188432,"group club co., ltd."
269066,"i zone co.,ltd."
472576,p.c.l. company limited
258206,"hobby world co., ltd."
45640,increase resultant industrial company limited
209964,"palm resort co., ltd."
884359,s.a. intertech company limited
218005,"diversified (thailand) co., ltd."
66903,structure architect company limited
543157,"land and home property co., ltd."
816262,"sabai sabai at sukhumvit co.,ltd."
730309,agrow enterprise company limited
218313,"at w co.,ltd."
240755,de trading company limited
885084,saimai hospital company limited
319008,dtac
695120,"north thailand products co., ltd."
1006782,"asian solutions co.,ltd."
1080983,"s.n. trading co., ltd."
220114,"denso sales (thailand) co, ltd"
429477,"best performance co.,ltd."
234275,green paper company limited
698735,"water lily group co.,ltd."
953612,banchongpack company limited
202770,bistro amarone company limited
600423,"at office co.,ltd."
454453,best service system company limited
309521,b-accounting company limited
570320,"p m c i co., ltd."
340516,model club company limited
513885,"bfits (thailand) co.,ltd."
255077,living free ga development company limited
675059,bronco (thailand) company limited
384505,mapsiz company limited
214920,dive asia company limited
508429,phuket dream company limited
255818,fca(thailand) company limited
137009,impact development company limited
565766,"plus sale co.,ltd."
721170,"takraf (south east asia) co.,ltd."
502108,massive production company limited
517656,"a.p.s. design and consult co.,ltd."
484518,"gianni co.,ltd."
671638,"pacific kitchen co., ltd."
101658,"arlymear travel co., ltd."
113890,le beau company limited
767976,"kirz co., ltd."
318714,"alsco textile services co.,ltd."
226612,"fuji oil (thailand) co.,ltd."
381,sunny estate company limited
594862,"d-conceit co.,ltd."
1003238,"art martin (thailand) co.,ltd."
592715,fresh & fresh company limited
475177,"my decor co.,ltd."
1051785,siriwattana company limited
185702,"graphic information co., ltd."
530530,"top a. co., ltd."
506068,"royal oak development co.,ltd."
510673,"1688 creation co.,ltd."
7533,"growth business co.,ltd."
615125,winner inter company limited
679162,nexus company limited
684179,prembee company limited
147404,"project planing service co., ltd."
109866,"ird engineering co., ltd."
320240,modern education company limited
303756,jass fashions company limited
1066359,sumiden steel wire (thailand) company limited
122477,kubota kasui [thailand] company limited
505657,"sunyoung world (thailand) co.,ltd."
941,"chemical line co.,ltd."
990710,bilal company limited
744589,chum (thailand) company limited
337173,"in house ltd., part."
674438,pacific marine food products company limited
383728,"pattaya plaza hotel co., ltd."
301523,krabi boat lagoon company limited
540234,newolder vfx company limited
383001,century 21 andaman company limited
690667,world camera group company limited
422611,best care company limited.
366193,gmbm company limited
91667,"add sign co., ltd."
252961,"property development & engineer co., ltd."
44840,illus (thailand) company limited
235693,i s a c (thailand) company limited
383177,leader property development company limited
501225,sun center service company limited
506087,"new plastic co., ltd."
713633,"transconsult co., ltd."
470103,digital exchange company limited
329218,bluebox technology company limited
914499,"control co.,ltd."
988852,"tsf co.,ltd."
72290,"target marketing co., ltd."
232667,fuji travel company limited
931623,power freight (thailand) company limited
280693,"logic power co.,ltd."
1016314,"asia organizer co.,ltd."
630105,"neo creation co.,ltd."
325189,daily supply company limited
202920,intellang company limited
711005,prime star company limited
900740,"siam estate co., ltd."
375553,mainmark ground engineering company limited
323591,infrared company limited
605103,mind company limited
152324,"i can be co.,ltd."
60836,coffee gallery company limited
461146,aon consulting (thailand) ltd.
502674,"development resources co., ltd."
117533,krytathum law office company limited
1060010,"smart management co.,ltd."
102961,buddy smith company limited
770973,"city development (bangkok) co.,ltd."
6760,"abroad education services co., ltd."
728801,agrino asia company limited
430512,"sunstar shipping co.,ltd."
498232,"mastery phuket co.,ltd."
432928,sylvania (thailand) ltd.
447926,"manohra co., ltd."
535424,mority company limited
498420,master law limited
1031137,s.p.mechanical part company limited
991759,sky adventure company limited
107874,i do travel company limited
812395,"club elite co., ltd."
448805,boulevard hotel company limited
199870,hemaraj land and development public company limited
278381,"logistics service provider co.,ltd."
1077224,spa enterprise company limited
110127,cwe (thailand) company limited
271722,health at home company limited
1046202,studio line international company limited
885696,"tsk co., ltd."
507658,"a plan co., ltd."
268995,"hara (thailand) co., ltd."
944490,trp group (thailand) company limited
111573,is holiday company limited
692320,bsy biotech (thailand) company limited
452560,"manita co., ltd."
50703,lake communication company limited
69447,"settle co., ltd."
676355,"network channel co.,ltd."
384179,central gold company limited
351990,"fortrec co., ltd."
1012668,asia network express company limited
427755,"eureka co., ltd."
712289,passa company limited
51974,"positive co., ltd."
348510,foreign academic education company limited
512326,w & h tech company limited
333637,bakingham company limited
94636,"aluminium store co.,ltd."
211983,"n.c.m. (thailand) co., ltd."
239836,human management center company limited
517014,engineering room company limited
732524,"vc management co.,ltd."
1007054,"asia multiple co.,ltd."
239418,"line code co., ltd."
8280,agency software company limited.
734194,"world service center co., ltd."
303495,"hp systems co., ltd."
709731,"prim media co.,ltd."
722099,design4desire company limited
568050,yoga retreat company limited
744891,versa company limited
42737,here (thailand) company limited
1082239,"solution plus co., ltd."
512101,"engineering series co., ltd."
245756,hats consulting & research company limited
348555,"gallery bar co., ltd."
60549,coastal engineering company limited
997086,"sl (thailand) co., ltd."
802379,punsoft company limited
218665,intelligent group technology company limited
1081546,sol tech systems company limited
182122,international consultant association company limited
184303,jm international company limited
476429,find.file.fine company limited
292715,"nithipat insure broker co., ltd."
501877,mass up studio company limited
448096,emperor printing company limited
294018,"ox company co.,ltd."
1006898,"asia silicones monomer co., ltd."
330293,level five company limited
960772,"chandee co., ltd."
333874,blue (bangkok) company limited
191000,henkel (thailand) limited
516058,phuket dispatch network company limited
612992,kul.group company limited
375168,"river rovers co., ltd."
671382,fruit company limited
758152,"bwi (thailand) co., ltd."
518707,phu engineer company limited
54800,"president music group co., ltd."
991890,"bill development co.,ltd."
62524,sport land company limited
536428,"new inland freight forwarder 2000 co., ltd."
565694,"windsor design co., ltd."
768867,marlo group (thailand) limited
317487,"modular software expertise co., ltd."
48184,brother auto parts & engineering company limited
511320,"new economy co.,ltd."
350394,invisible ink company limited
466132,quick leasing company limited
724348,p. c. a. group company limited
199498,"international vision co., ltd."
63356,company service company limited
187048,groovy enterprises company limited
1017605,asia electric systems company limited
688051,super holiday villas company limited
101559,"arle co.,ltd."
801971,"wellbeing korea co.,ltd."
415322,"tomisho(thailand) co.,ltd."
376201,"century pattana co.,ltd."
56608,saladaeng company limited
103163,"klever (thailand) co., ltd."
508402,"news and information co., ltd."
1016517,asia travel hotel network company limited
748012,"richpac corporation (thailand) co.,ltd."
219630,"ic service co., ltd."
470392,"kosa holding co., ltd."
736776,business consultant
113416,i-store (thailand) company limited
511756,new phase company limited
214640,"atrium technology co., ltd."
914186,wonder travel company limited
54915,"russian phuket tv.co.,ltd."
212424,d east engineering company limited
269735,nissan leasing (thailand) company limited
272123,kpg company limited
370008,q-life company limited
904797,v. travel company limited
309842,"j.p. emerald hotel co., ltd."
756164,people power company limited
305220,john crane (thailand) company limited
7774,"property specialist co., ltd."
795574,"kasikorn factory and equipment co.,ltd."
676778,"broadcasting media co., ltd."
277168,"health north co., ltd."
63890,farmers market company limited
349506,"esl construction(thailand) co.,ltd."
336297,infinite star company limited
43970,horse two up company limited
358283,retail one company limited
536461,merryfair ( thailand ) company limited
356835,go thailand tour company limited
484283,"master group corporation (asia) co.,ltd."
935388,"capital g development co.,ltd."
914427,"wonder bites project co.,ltd."
67390,fire one one company limited
1078992,"sigma apparel co.,ltd."
156862,nama nama group company limited
226677,fuji travel agency company limited
707350,"novacyl (thailand) co., ltd."
310697,juso group company limited
677575,"network system integration co., ltd."
1072506,suwannapoom steel company limited
313704,"lpk global trade co.,ltd."
469048,envire operation
54769,channel one company limited
377025,"d.c.a. co., ltd."
98344,advance it development company limited
288294,"global education co., ltd."
364173,jammer
98128,"advance pharma co., ltd."
990350,"caddera co.,ltd."
718392,"resolute builder co.,ltd."
361424,"rewa jewels co.,ltd."
504020,brand for less company limited
436797,malin films company limited
492949,"development garment co., ltd."
53315,engage eco products company limited
384499,dwp (thailand) ltd
368026,"four pattana co., ltd."
505381,mba-audit company limited
159923,butterfire company limited
375116,openbox architects company limited
102952,hioki company limited.
448987,man a fisheries company limited
728947,"agrotech thailand co., ltd."
390956,legor group s.e. asia company limited
247668,nick and nick pictures company limited
292208,own construction company limited
264686,how are you company limited
351056,gal service company limited
425360,chong charoen charkkol (1991) company limited
752170,kensington company limited
188394,"ifuture co.,ltd."
562334,abda aviation company limited
550004,"top vision (thailand) co., ltd."
421485,pet technology company limited
115964,oz decor company limited
50079,police association company limited
369482,gmw freight & logistics (thailand) company limited
512529,"extron (thailan) co.,ltd."
48292,"rice engineering co., ltd."
239818,human care company limited
269865,"auto system group co., ltd."
321884,"modern trade co., ltd."
700342,buil (thailand) company limited
340354,"n s r k co.,ltd."
217783,"jonn power idea co.,ltd."
597890,"dei (thailand) co.,ltd."
503944,white wings company limited
324022,leisure design group company limited
215987,"coventry co., ltd."
600890,kru kru company limited
43066,rational engineering company limited
1063307,s p v i public company limited
714845,des consultant company limited
312882,b aesthetics (thailand) company limited
280523,logistics networks (thailand) company limited
217464,one plus group company limited
545383,top management company limited
597680,"supatra hua hin resort co.,ltd."
157060,guerrilla production company limited
110491,lumen light limited partnership
509378,"newday co., ltd."
881749,ceramic art
600889,d&f group company limited
431042,"garden lodge co., ltd."
736771,trio trading company limited
647849,"magpie co., ltd."
738658,vdtouch company limited
988447,coral management company limited
467738,quintus advanced products limited
322166,"orchestra co., ltd."
595410,toprichgroup company limited
350248,"celestial navigations (thailand) co.,ltd."
1032868,"sr engineering & services co.,ltd."
815148,sabai estate group company limited
192572,inter global company limited
123124,"golden group co., ltd."
500552,kumsit company limited
709340,design 2000
100214,"adventure group co., ltd."
903964,connextion company limited
184502,grace design company limited
1076559,s.m.j. (thailand) company limited
331911,gnc group company limited
220019,"one & one co., ltd."
458738,west coast divers company limited
767762,by sea company limited
359317,monogram company limited
317682,"model marketing ltd., part."
42734,herbert smith (thailand) limited
431571,"sun food international co.,ltd."
209555,future communications company limited
278300,logic consultant company limited
561205,"top solvent co.,ltd."
62017,"manufacturer trading co., ltd."
511836,"x-island co., ltd."
44335,recovery center company limited
190893,"future control co.,ltd."
199220,kobi digital (thailand) company limited
44620,dish (thailand) company limited
91692,adidas (thailand) company limited
472415,pcl planner company limited
516876,new worth (thailand) company limited
674930,"network property management co., ltd."
509498,"extreme packaging co., ltd."
446683,x t i [thailand] company limited
213814,at. research company limited
424791,nadol company limited
473116,glc company limited
54629,simply solutions company limited
311205,n s d n company limited
338109,"blue pacific co., ltd."
189049,group 30 company limited
719545,trevor company limited
350633,noble carpet company limited
505388,"yushin precision equipment (thailand) co.,ltd."
509543,new life siam company limited
556069,lanta marine services company limited
513149,kwang tai company limited
500778,direct freight company limited
87380,utility tech company limited
298845,"jit accounting co.,ltd."
628197,fiber network company limited
402048,tms asia company limited
291386,gulf international company limited
448291,empire hotel company limited
